Long15,Long30,LongDCA
0.02668731,0.02668731,0.027471642
-0.00419252,-0.00419252,-0.003452119
-0.035533866,-0.035533866,-0.034814283
0.005238345,0.005238345,0.0060154
0.014243512,0.014243512,0.015022841
0.000171314,0.000171314,0.000928455
0.000856147,0.000856147,0.001613104
-0.01077846,-0.01077846,-0.010031507
-0.025596679,-0.025596679,-0.02485346
-0.014909478,-0.014909478,-0.014138957
-0.021081045,-0.021081045,-0.02030437
0.028713362,0.028713362,0.029546459
-0.00268379,-0.00268379,-0.001899298
-0.003588105,-0.003588105,-0.002802834
-0.013683867,-0.013683867,-0.012904367
-0.021723239,-0.021723239,-0.020939985
-0.01698078,-0.01698078,-0.016176896
-0.004365964,-0.004365964,-0.003538376
-0.00247857,-0.00247857,-0.001646469
0.005351644,0.005351644,0.00619166
0.034410686,0.034410686,0.035269663
0.006248851,0.006248851,0.007055976
0.020273991,0.020273991,0.021086631
0.011278213,0.011278213,0.012067055
0.005664702,0.005664702,0.006439811
-0.011265675,-0.011265675,-0.010508491
0.031091281,0.006765195,0.007544376
0.011494288,0.011494288,0.012271267
0.009265717,0.009265717,0.010031585
0.005196588,0.005196588,0.005951793
-0.003446442,-0.003446442,-0.00270216
0,0,0.000748879
-0.018156717,-0.018156717,-0.017421985
-0.010214829,-0.010214829,-0.009461022
0.003914537,0.003914537,0.004686409
0.006912496,0.006912496,0.007683061
-0.000176061,-0.000176061,0.000583246
-0.007746444,-0.007746444,-0.006993326
0.001774273,0.001774273,0.002539972
0.005490631,0.005490631,0.006257223
0.007574441,0.007574441,0.008337845
0.011014003,0.011014003,0.01177368
0.00691679,0.00691679,0.007664584
-0.008243174,-0.008243174,-0.007512241
0.003982684,0.003982684,0.004728228
0.002414608,0.002414608,0.003155485
-0.006366122,-0.006366122,-0.005634045
-0.006753229,-0.006753229,-0.006017292
0.00261501,0.00261501,0.003362387
0.001043332,0.001043332,0.001787036
-0.000347421,-0.000347421,0.000393925
0.00139013,0.00139013,0.002132472
0.010758268,0.010758268,0.01150596
0.007038627,0.007038627,0.007775094
-0.000340965,-0.000340965,0.000384465
0.006309669,0.006309669,0.007039645
0.006100678,0.006100678,0.0068254
0.018016068,-0.004210881,-0.003498449
0.011163735,0.011163735,0.011889706
-0.001338207,-0.001338207,-0.000629636
-0.002010033,-0.002010033,-0.001301493
-0.000503575,-0.000503575,0.000206959
-0.012762351,-0.012762351,-0.012060677
-0.002211277,-0.002211277,-0.001493446
0.000340948,0.000340948,0.001061691
0.007498279,0.007498279,0.008223409
-0.009472226,-0.009472226,-0.008765125
-0.007513695,-0.007513695,-0.006798931
0.004129422,0.004129422,0.004857522
0.0003427,0.0003427,0.001064548
0.001199041,0.001199041,0.001920738
0.002395192,0.002395192,0.003116367
0.00426694,0.00426694,0.004987216
-0.002379317,-0.002379317,-0.001667358
0.003236763,0.003236763,0.003953926
0.003226405,0.003226405,0.003940736
-0.000846361,-0.000846361,-0.000137722
-0.001355209,-0.001355209,-0.000646834
-0.006955047,-0.006955047,-0.006250188
-0.01452002,-0.01452002,-0.013816131
-0.018374034,-0.018374034,-0.017663075
0.005827265,0.005827265,0.00656885
-0.014220453,-0.014220453,-0.013498392
-0.006767622,-0.006767622,-0.006030147
0.008965394,0.008965394,0.009719096
-0.013861703,-0.013861703,-0.013132143
0.010992899,0.010992899,0.011750799
0.001069554,0.001069554,0.001811299
0.032918901,0.009615402,0.010362127
0.006525555,0.006525555,0.00726236
0,0,0.000726749
0.002277922,0.002277922,0.003005798
0.000699318,0.000699318,0.00142387
-0.003319409,-0.003319409,-0.002598794
-0.001752813,-0.001752813,-0.001029184
0.005618946,0.005618946,0.00634867
-0.003317583,-0.003317583,-0.002598907
